City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
port hedland,-20.3167,118.5667,78.85,83.0,0.0,6.91,AU,1678901094.0
cockburn town,21.4612,-71.1419,78.75,72.0,0.0,9.75,TC,1678901095.0
dicabisagan,17.0818,122.4157,72.27,86.0,52.0,3.76,PH,1678901095.0
yelizovo,53.1873,158.3805,28.54,93.0,75.0,2.24,RU,1678901096.0
matongo,-2.3833,34.0833,64.08,93.0,95.0,4.34,TZ,1678901096.0
ponta delgada,37.7333,-25.6667,61.52,67.0,20.0,26.46,PT,1678900926.0
abu samrah,35.3029,37.1841,51.71,82.0,59.0,18.14,SY,1678901097.0
geraldton,-28.7667,114.6,68.41,88.0,0.0,9.22,AU,1678901098.0
nome,64.5011,-165.4064,-2.13,65.0,0.0,4.61,US,1678901099.0
ambanja,-13.6833,48.45,77.07,90.0,100.0,3.8,MG,1678901100.0
lasa,46.6166,10.7002,40.69,61.0,13.0,7.07,IT,1678901100.0
zhirnovsk,50.9845,44.7735,39.88,42.0,100.0,14.65,RU,1678901101.0
udachnyy,66.4167,112.4,12.45,78.0,100.0,11.9,RU,1678901102.0
terre-de-bas,15.8501,-61.6442,85.51,67.0,31.0,14.99,GP,1678901103.0
big spring,32.2504,-101.4787,65.1,64.0,40.0,23.02,US,1678901103.0
iqaluit,63.7506,-68.5145,-2.47,76.0,75.0,0.0,CA,1678901104.0
avera,33.194,-82.5271,55.9,29.0,3.0,4.74,US,1678901105.0
sulangan,11.1373,123.7228,79.5,85.0,100.0,17.36,PH,1678901105.0
mangrol,21.1167,70.1167,79.21,58.0,34.0,3.4,IN,1678901106.0
vallenar,-28.5708,-70.7581,83.7,35.0,0.0,7.67,CL,1678901107.0
narasannapeta,18.4167,84.05,77.16,83.0,97.0,8.03,IN,1678901107.0
winnemucca,40.973,-117.7357,37.45,56.0,0.0,20.71,US,1678901108.0
lagoa,39.05,-27.9833,56.12,71.0,38.0,33.6,PT,1678901110.0
nikolsk,53.7189,46.0712,34.56,73.0,100.0,9.1,RU,1678901110.0
east london,-33.0153,27.9116,72.54,94.0,100.0,11.5,ZA,1678900861.0
mount darwin,-16.7725,31.5838,63.63,98.0,50.0,5.3,ZW,1678901111.0
kosh-agach,50.0,88.6667,3.52,84.0,82.0,3.06,RU,1678901113.0
kuzino,57.0224,59.4412,28.15,88.0,59.0,11.12,RU,1678901118.0
dabat,12.9842,37.765,63.32,22.0,97.0,7.85,ET,1678901119.0
asadabad,34.7824,48.1185,55.35,60.0,91.0,1.41,IR,1678901120.0
nuuk,64.1835,-51.7216,23.61,86.0,100.0,2.3,GL,1678900879.0
kinablangan,7.6947,126.5503,77.27,85.0,98.0,4.94,PH,1678901121.0
balakliya,49.4627,36.8595,47.16,62.0,100.0,7.58,UA,1678901122.0
longyearbyen,78.2186,15.6401,-4.16,65.0,20.0,12.66,SJ,1678901123.0
ulladulla,-35.35,150.4667,64.98,79.0,15.0,5.35,AU,1678901124.0
brzesko,49.9691,20.6061,42.82,64.0,100.0,7.63,PL,1678901125.0
emporia,38.4039,-96.1817,57.4,44.0,0.0,24.16,US,1678901057.0
raudeberg,61.9875,5.1352,38.07,77.0,4.0,9.17,NO,1678901126.0
muroto,33.2833,134.15,61.12,66.0,100.0,6.98,JP,1678901127.0
lorengau,-2.0226,147.2712,80.38,81.0,99.0,7.78,PG,1678901128.0
deputatskiy,69.3,139.9,-5.49,99.0,77.0,4.14,RU,1678901129.0
zhigansk,66.7697,123.3711,-5.53,100.0,97.0,10.09,RU,1678901129.0
hwange,-18.3693,26.5019,74.75,57.0,79.0,3.6,ZW,1678901130.0
san vicente,-26.6167,-54.1333,68.65,99.0,100.0,1.81,AR,1678901131.0
zumpango,19.7978,-99.1017,67.91,37.0,97.0,3.69,MX,1678901132.0
belaya gora,68.5333,146.4167,-9.51,100.0,75.0,7.54,RU,1678901132.0
vila,42.0304,-8.1588,59.7,46.0,50.0,4.7,PT,1678901133.0
yeppoon,-23.1333,150.7333,76.78,89.0,22.0,3.56,AU,1678901134.0
tessalit,20.1986,1.0114,94.51,6.0,25.0,11.12,ML,1678901135.0
eenhana,-17.4667,16.3333,82.76,27.0,81.0,0.69,NA,1678901135.0
jiayuguan,39.8167,98.3,41.68,35.0,64.0,2.57,CN,1678901136.0
kloulklubed,7.0419,134.2556,77.5,72.0,84.0,4.88,PW,1678901066.0
greytown,-29.0642,30.5928,62.55,96.0,2.0,3.38,ZA,1678901136.0
atbasar,51.8,68.3333,21.04,84.0,95.0,15.12,KZ,1678901137.0
sayyan,15.1718,44.3244,58.46,69.0,47.0,3.47,YE,1678901138.0
dongsheng,39.8161,109.9776,29.68,31.0,98.0,9.55,CN,1678901138.0
great yarmouth,52.6083,1.7305,45.41,74.0,100.0,14.03,GB,1678901139.0
nevel,56.0209,29.9284,32.97,99.0,100.0,3.33,RU,1678900970.0
dobarlau,45.7333,25.8833,47.25,57.0,100.0,4.21,RO,1678901140.0
vestmannaeyjar,63.4427,-20.2734,31.19,69.0,40.0,5.75,IS,1678901140.0
halifax,44.6453,-63.5724,45.68,92.0,75.0,17.27,CA,1678901102.0
manavalakurichi,8.1333,77.3,78.28,82.0,2.0,3.18,IN,1678901141.0
glowno,51.9646,19.7157,39.99,59.0,100.0,7.11,PL,1678901141.0
los llanos de aridane,28.6585,-17.9182,65.95,73.0,0.0,9.22,ES,1678901142.0
srandakan,-7.9386,110.2506,78.04,85.0,97.0,4.16,ID,1678901143.0
pangnirtung,66.1451,-65.7125,5.0,66.0,100.0,2.3,CA,1678901144.0
buala,-8.145,159.5921,79.84,79.0,100.0,4.21,SB,1678901145.0
san joaquin,37.9333,-121.3011,51.33,83.0,75.0,13.8,US,1678901146.0
dindori,22.95,81.0833,75.78,29.0,99.0,2.55,IN,1678901146.0
winneba,5.3511,-0.6231,83.35,75.0,67.0,17.85,GH,1678901147.0
krapivinskiy,54.9992,86.8133,30.0,97.0,100.0,4.07,RU,1678901147.0
gidam,18.9833,81.4,81.5,28.0,100.0,5.53,IN,1678901148.0
bereda,43.2686,-7.5406,63.25,49.0,45.0,4.18,ES,1678901148.0
buraydah,26.326,43.975,68.45,29.0,13.0,9.28,SA,1678900854.0
mount gambier,-37.8333,140.7667,59.18,89.0,26.0,8.3,AU,1678901149.0
talara,-4.5772,-81.2719,84.96,79.0,40.0,13.8,PE,1678901155.0
guerrero negro,27.9769,-114.0611,64.8,61.0,99.0,13.35,MX,1678901155.0
betong,5.7743,101.0723,68.23,96.0,64.0,2.86,TH,1678900897.0
jaque,7.5175,-78.1703,80.22,79.0,100.0,7.43,PA,1678901156.0
poum,-20.2333,164.0167,78.42,86.0,100.0,14.09,NC,1678900887.0
fare,-16.7,-151.0167,82.13,75.0,77.0,10.0,PF,1678900994.0
chipinge,-20.1883,32.6236,60.03,97.0,27.0,3.11,ZW,1678901157.0
komsomolskiy,40.4272,71.7189,54.32,58.0,80.0,0.0,UZ,1678901157.0
sorland,67.667,12.6934,31.86,64.0,100.0,23.62,NO,1678901158.0
daru,-9.0763,143.2092,78.85,87.0,96.0,5.7,PG,1678901159.0
broome,42.2506,-75.833,33.71,67.0,40.0,23.02,US,1678901159.0
mayo,38.8876,-76.5119,48.69,27.0,0.0,19.57,US,1678901160.0
santo andre,-23.6639,-46.5383,80.17,69.0,40.0,12.66,BR,1678900970.0
grand gaube,-20.0064,57.6608,80.38,68.0,90.0,7.0,MU,1678901161.0
shelburne,44.0787,-80.2041,31.6,46.0,7.0,9.66,CA,1678901162.0
onguday,50.75,86.15,28.78,85.0,100.0,2.55,RU,1678901162.0
norden,53.6,7.2,42.94,73.0,7.0,12.1,DE,1678901162.0
puteyets,65.1716,57.091,33.19,98.0,100.0,11.48,RU,1678901163.0
san pedro,14.35,121.0167,78.35,77.0,20.0,3.44,PH,1678901052.0
hachinohe,40.5,141.5,38.79,81.0,28.0,5.77,JP,1678901164.0
gursu,40.2188,29.1949,58.66,63.0,43.0,1.54,TR,1678900954.0
dunedin,-45.8742,170.5036,58.8,91.0,96.0,4.0,NZ,1678901071.0
lysychovo,48.4968,23.2899,36.14,91.0,100.0,11.3,UA,1678901167.0
hit,33.6416,42.8251,62.29,57.0,62.0,21.32,IQ,1678901168.0
banjarmasin,-3.3244,114.591,78.94,89.0,100.0,1.39,ID,1678901169.0
tilichiki,60.4667,166.1,5.85,99.0,100.0,4.5,RU,1678901169.0
milan,45.4643,9.1895,58.46,20.0,0.0,6.91,IT,1678901170.0
novikovo,51.1537,37.8879,43.86,61.0,72.0,11.81,RU,1678901171.0
odienne,9.51,-7.5692,87.44,35.0,62.0,12.55,CI,1678901171.0
ati,13.2154,18.3353,86.63,10.0,13.0,5.3,TD,1678901172.0
sisimiut,66.9395,-53.6735,16.25,89.0,100.0,10.92,GL,1678901173.0
oshkosh,44.0247,-88.5426,38.26,60.0,20.0,13.8,US,1678900942.0
biak,-0.9131,122.8766,75.81,86.0,97.0,0.27,ID,1678901174.0
takapau,-40.0333,176.35,45.73,96.0,6.0,2.19,NZ,1678901175.0
hostotipaquillo,21.0667,-104.0667,80.06,22.0,0.0,2.21,MX,1678901176.0
tateyama,34.9833,139.8667,58.41,65.0,66.0,9.78,JP,1678901177.0
namibe,-15.1961,12.1522,74.48,77.0,16.0,7.87,AO,1678901177.0
san cristobal,7.7669,-72.225,80.78,36.0,47.0,6.17,VE,1678901178.0
richards bay,-28.783,32.0377,73.38,85.0,0.0,5.64,ZA,1678901179.0
hualmay,-11.0964,-77.6139,77.32,78.0,93.0,7.29,PE,1678901179.0
dahra,36.2546,0.8519,70.99,41.0,4.0,6.38,DZ,1678901180.0
rio branco do sul,-25.19,-49.3142,77.34,90.0,100.0,2.04,BR,1678901182.0
butembo,0.15,29.2833,59.07,98.0,100.0,2.68,CD,1678901182.0
qaqortoq,60.7167,-46.0333,27.18,53.0,14.0,3.87,GL,1678901183.0
haines junction,60.7522,-137.5108,-11.25,70.0,100.0,1.14,CA,1678901183.0
karema,-6.8205,30.4389,69.82,86.0,100.0,1.54,TZ,1678901184.0
ciudad bolivar,8.1222,-63.5497,93.83,28.0,81.0,6.64,VE,1678901185.0
chernyshevskiy,63.0128,112.4714,14.22,92.0,100.0,11.23,RU,1678901191.0
sibolga,1.7427,98.7792,76.89,92.0,100.0,4.21,ID,1678901191.0
constantine,36.365,6.6147,60.21,44.0,0.0,11.5,DZ,1678901192.0
yarmouth,41.7057,-70.2286,43.97,71.0,75.0,32.01,US,1678901193.0
isla mujeres,21.2311,-86.731,77.05,65.0,93.0,13.56,MX,1678901193.0
borogontsy,62.6683,131.1683,5.11,97.0,100.0,2.55,RU,1678901194.0
tucurui,-3.7661,-49.6725,74.3,94.0,100.0,4.23,BR,1678901194.0
anadyr,64.75,177.4833,-3.5,77.0,0.0,4.47,RU,1678901195.0
langsa,4.4683,97.9683,74.46,93.0,94.0,2.26,ID,1678901196.0
sur,22.5667,59.5289,79.84,54.0,70.0,3.49,OM,1678901197.0
tirodi,21.6833,79.7,79.45,31.0,100.0,3.58,IN,1678901197.0
miedzychod,52.5988,15.897,41.52,80.0,66.0,5.23,PL,1678901064.0
vieste,41.8825,16.175,51.93,69.0,99.0,27.51,IT,1678901198.0
caravelas,-17.7125,-39.2481,83.98,60.0,39.0,9.33,BR,1678901199.0
homer,59.6425,-151.5483,22.87,87.0,75.0,13.0,US,1678901199.0
ugoofaaru,5.6667,73.0,81.86,77.0,66.0,7.96,MV,1678901200.0
sakaiminato,35.55,133.2333,55.38,67.0,75.0,12.66,JP,1678901200.0
oksfjord,70.2396,22.3479,27.0,93.0,100.0,11.14,NO,1678901201.0
formosa,-26.1775,-58.1781,84.18,74.0,75.0,9.22,AR,1678901201.0
altea,38.5989,-0.0514,70.2,62.0,15.0,5.84,ES,1678901202.0
chumikan,54.7183,135.315,19.09,96.0,100.0,8.28,RU,1678901202.0
saint-georges,12.0564,-61.7485,83.88,65.0,20.0,23.02,GD,1678901203.0
acapulco,16.8634,-99.8901,82.22,69.0,0.0,10.36,MX,1678901168.0
sungurlu,40.1675,34.3739,44.91,86.0,100.0,2.08,TR,1678901204.0
raga,8.4596,25.678,81.7,47.0,42.0,4.61,SS,1678901204.0
bardiyah,31.7561,25.0865,63.72,45.0,2.0,3.4,LY,1678901205.0
vao,-22.6667,167.4833,75.49,91.0,100.0,24.0,NC,1678901205.0
meiktila,20.8667,95.8667,80.53,28.0,4.0,8.23,MM,1678901206.0
vostok,46.4856,135.8833,21.72,98.0,100.0,1.1,RU,1678901206.0
waipawa,-41.4122,175.5153,49.55,90.0,23.0,5.64,NZ,1678901207.0
pochutla,15.7432,-96.4661,89.82,47.0,1.0,8.28,MX,1678901208.0
bajil,15.0584,43.2851,83.43,54.0,24.0,6.64,YE,1678901208.0
yanji,42.9075,129.5078,29.75,42.0,4.0,9.01,CN,1678901209.0
minab,27.1467,57.0801,75.52,73.0,74.0,0.0,IR,1678901209.0
tamale,9.4008,-0.8393,101.82,14.0,33.0,2.35,GH,1678901210.0
salo,45.6086,10.531,57.18,63.0,10.0,6.44,IT,1678901210.0
milos,36.75,24.4333,57.99,80.0,77.0,27.22,GR,1678901027.0
abha,18.2164,42.5053,57.02,88.0,0.0,4.61,SA,1678900990.0
manokwari,-0.8667,134.0833,78.08,81.0,100.0,4.16,ID,1678901212.0
beachwood,41.4645,-81.5087,38.3,60.0,0.0,10.36,US,1678901029.0
opuwo,-18.0607,13.84,87.76,20.0,91.0,6.64,NA,1678901213.0
alekseyevsk,57.8406,108.3492,-1.03,99.0,77.0,4.43,RU,1678901213.0
borgarnes,64.5383,-21.9206,26.65,46.0,0.0,12.37,IS,1678901214.0
am timan,11.0297,20.2827,93.83,12.0,62.0,3.62,TD,1678901214.0
bayanday,53.0661,105.5139,-1.79,95.0,9.0,0.65,RU,1678901215.0
salalah,17.0151,54.0924,78.89,69.0,0.0,3.44,OM,1678901208.0
southampton,50.904,-1.4043,47.37,85.0,40.0,5.01,GB,1678901129.0
the valley,18.217,-63.0578,84.06,69.0,20.0,12.66,AI,1678901216.0
tomatlan,19.9333,-105.25,86.77,47.0,1.0,4.47,MX,1678901221.0
kula,38.5473,28.6498,50.09,58.0,38.0,2.95,TR,1678901222.0
tarsus,36.9188,34.8784,59.38,82.0,61.0,6.67,TR,1678901223.0
silver city,32.7701,-108.2803,64.36,39.0,75.0,13.8,US,1678900976.0
okhotsk,59.3833,143.3,17.11,97.0,100.0,7.36,RU,1678901224.0
sobolevo,54.4299,31.8996,34.43,98.0,100.0,5.12,RU,1678901225.0
usogorsk,63.4106,48.6872,34.48,99.0,100.0,11.63,RU,1678900998.0
liberia,6.5,-9.5,86.18,59.0,86.0,7.56,LR,1678900994.0
mobaye,4.319,21.1786,82.62,54.0,100.0,5.03,CF,1678901226.0
kamenka,51.3223,42.7678,39.42,49.0,100.0,12.66,RU,1678901227.0
tornio,65.8481,24.1466,8.62,97.0,91.0,3.65,FI,1678901228.0
uvat,59.1433,68.8953,13.1,96.0,8.0,3.36,RU,1678901228.0
auki,-8.7676,160.7034,75.65,87.0,100.0,3.04,SB,1678901229.0
novobessergenevka,47.1847,38.8462,49.96,70.0,89.0,12.24,RU,1678901230.0
nabire,-3.3667,135.4833,73.36,97.0,100.0,5.64,ID,1678901231.0
huari,-9.3333,-77.2333,49.08,70.0,100.0,3.65,PE,1678901231.0
ust-kuyga,70.0167,135.6,-5.1,98.0,95.0,9.24,RU,1678901232.0
mogadishu,2.0371,45.3438,80.87,81.0,82.0,13.94,SO,1678901233.0
cayenne,4.9333,-52.3333,86.04,66.0,20.0,11.5,GF,1678901234.0
oxford,51.7522,-1.256,46.18,92.0,75.0,12.66,GB,1678901045.0
seoul,37.5683,126.9778,37.0,46.0,0.0,5.75,KR,1678901219.0
gilgit,35.9221,74.3087,48.54,47.0,9.0,3.31,PK,1678901236.0
lewisporte,49.2499,-55.0482,26.31,78.0,99.0,10.69,CA,1678901236.0
angoche,-16.2325,39.9086,75.49,85.0,100.0,5.88,MZ,1678901237.0
kargat,55.1956,80.2811,22.57,96.0,98.0,7.65,RU,1678901238.0
abonnema,4.7084,6.7931,81.86,76.0,100.0,9.71,NG,1678901239.0
kerman,30.2832,57.0788,57.06,67.0,40.0,6.91,IR,1678901240.0
bolitoc,15.7395,119.8769,75.02,82.0,61.0,7.18,PH,1678901241.0
kaeo,-35.1,173.7833,62.26,81.0,86.0,8.63,NZ,1678901242.0
simao,22.7886,100.9748,61.2,45.0,93.0,1.12,CN,1678901243.0
molina,-35.1167,-71.2833,78.53,29.0,0.0,4.61,CL,1678901244.0
damghan,36.1683,54.348,64.69,33.0,85.0,10.6,IR,1678901244.0
burleson,32.5421,-97.3208,63.59,51.0,75.0,15.01,US,1678901245.0
quincy,42.2529,-71.0023,42.91,64.0,100.0,21.85,US,1678900851.0
beian,63.6559,9.5683,37.0,64.0,40.0,19.57,NO,1678901247.0
murakami,38.2333,139.4833,48.38,62.0,100.0,5.37,JP,1678901248.0
puerto madero,14.7208,-92.4215,88.0,70.0,20.0,0.0,MX,1678901248.0
urla,38.3229,26.764,56.21,90.0,99.0,18.16,TR,1678901249.0
camacha,33.0833,-16.3333,62.02,72.0,0.0,6.91,PT,1678901250.0
nagarote,12.2659,-86.5647,89.28,51.0,44.0,6.69,NI,1678901251.0
alice springs,-23.7,133.8833,85.55,21.0,9.0,19.57,AU,1678901251.0
faridpur,23.6,89.8333,75.38,66.0,1.0,9.8,BD,1678901252.0
phoenix,33.4484,-112.074,60.84,80.0,100.0,13.24,US,1678901222.0
kampen,52.555,5.9111,44.98,54.0,78.0,5.21,NL,1678901253.0
ushtobe,45.2514,77.9838,43.32,76.0,100.0,8.5,KZ,1678901254.0
